Pathway Accession	Mapped Ids	Pathway Name	Componenets	Subfamilies	Associated Sequence
P00057	HUMAN|HGNC=8661|UniProtKB=Q9HC56,HUMAN|HGNC=7778|UniProtKB=Q14934,HUMAN|HGNC=15813|UniProtKB=Q9BZA8,HUMAN|HGNC=14270|UniProtKB=Q8TAB3,HUMAN|HGNC=886|UniProtKB=P46100,HUMAN|HGNC=3176|UniProtKB=P05305,HUMAN|HGNC=2510|UniProtKB=P26232,HUMAN|HGNC=850|UniProtKB=P48047,HUMAN|HGNC=8685|UniProtKB=Q9Y5E9,HUMAN|HGNC=6771|UniProtKB=Q99717,HUMAN|HGNC=10777|UniProtKB=Q96HF1,HUMAN|HGNC=9315|UniProtKB=P16298,HUMAN|HGNC=7777|UniProtKB=Q12968,HUMAN|HGNC=3084|UniProtKB=O14640,HUMAN|HGNC=4410|UniProtKB=O60262,HUMAN|HGNC=7776|UniProtKB=Q13469,HUMAN|HGNC=20093|UniProtKB=Q8N142,HUMAN|HGNC=12776|UniProtKB=O96014,HUMAN|HGNC=143|UniProtKB=P68032,HUMAN|HGNC=9403|UniProtKB=P24723,HUMAN|HGNC=12781|UniProtKB=Q93097,HUMAN|HGNC=8666|UniProtKB=Q9UN75,HUMAN|HGNC=4408|UniProtKB=P63218,HUMAN|HGNC=1764|UniProtKB=P33151,HUMAN|HGNC=18231|UniProtKB=Q9BYE9,HUMAN|HGNC=12525|UniProtKB=O60701,HUMAN|HGNC=8696|UniProtKB=Q9Y5H4,HUMAN|HGNC=6770|UniProtKB=Q13485,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=7559|UniProtKB=P04198,HUMAN|HGNC=13315|UniProtKB=Q9BY41,HUMAN|HGNC=1766|UniProtKB=Q9ULB5,HUMAN|HGNC=2512|UniProtKB=Q9UBT7,HUMAN|HGNC=13829|UniProtKB=Q9GZT5,HUMAN|HGNC=2457|UniProtKB=P68400,HUMAN|HGNC=9300|UniProtKB=P62714,HUMAN|HGNC=13404|UniProtKB=Q9P2E7,HUMAN|HGNC=10778|UniProtKB=Q6FHJ7,HUMAN|HGNC=12789|UniProtKB=Q93098,HUMAN|HGNC=12784|UniProtKB=P41221,HUMAN|HGNC=8706|UniProtKB=Q9Y5G5,HUMAN|HGNC=16974|UniProtKB=Q6ZRS2,HUMAN|HGNC=11639|UniProtKB=P36402,HUMAN|HGNC=9316|UniProtKB=P48454,HUMAN|HGNC=4042|UniProtKB=Q9ULV1,HUMAN|HGNC=8681|UniProtKB=Q9UN67,HUMAN|HGNC=14550|UniProtKB=Q96JP9,HUMAN|HGNC=8691|UniProtKB=Q9Y5E3,HUMAN|HGNC=4404|UniProtKB=P59768,HUMAN|HGNC=8665|UniProtKB=Q9Y5I1,HUMAN|HGNC=18797|UniProtKB=Q8NCW0,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=3231|UniProtKB=Q9HCU4,HUMAN|HGNC=1750|UniProtKB=P55287,HUMAN|HGNC=2453|UniProtKB=P49674,HUMAN|HGNC=7521|UniProtKB=Q9HBB8,HUMAN|HGNC=8655|UniProtKB=Q08174,HUMAN|HGNC=4396|UniProtKB=P62873,HUMAN|HGNC=8686|UniProtKB=Q9Y5E8,HUMAN|HGNC=4407|UniProtKB=P50150,HUMAN|HGNC=1582|UniProtKB=P24385,HUMAN|HGNC=9059|UniProtKB=Q15147,HUMAN|HGNC=2451|UniProtKB=P48729,HUMAN|HGNC=9312|UniProtKB=Q14738,HUMAN|HGNC=1767|UniProtKB=P55286,HUMAN|HGNC=2495|UniProtKB=P56545,HUMAN|HGNC=8709|UniProtKB=Q9Y5G2,HUMAN|HGNC=11839|UniProtKB=Q04726,HUMAN|HGNC=1762|UniProtKB=P22223,HUMAN|HGNC=12774|UniProtKB=P04628,HUMAN|HGNC=11106|UniProtKB=Q96GM5,HUMAN|HGNC=9314|UniProtKB=Q08209,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=8717|UniProtKB=Q9Y5F7,HUMAN|HGNC=13607|UniProtKB=Q9UKB1,HUMAN|HGNC=6181|UniProtKB=Q14571,HUMAN|HGNC=11998|UniProtKB=P04637,HUMAN|HGNC=8700|UniProtKB=Q9Y5H1,HUMAN|HGNC=3342|UniProtKB=Q05925,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=8716|UniProtKB=Q9UN70,HUMAN|HGNC=9309|UniProtKB=Q15172,HUMAN|HGNC=8667|UniProtKB=Q9Y5I0,HUMAN|HGNC=1768|UniProtKB=Q9ULB4,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=1753|UniProtKB=P55290,HUMAN|HGNC=11892|UniProtKB=P01375,HUMAN|HGNC=12788|UniProtKB=Q9H1J5,HUMAN|HGNC=16265|UniProtKB=Q9H1J7,HUMAN|HGNC=4402|UniProtKB=P50151,HUMAN|HGNC=15917|UniProtKB=Q9NQ66,HUMAN|HGNC=583|UniProtKB=P25054,HUMAN|HGNC=4405|UniProtKB=P63215,HUMAN|HGNC=29858|UniProtKB=Q9UBE8,HUMAN|HGNC=7553|UniProtKB=P01106,HUMAN|HGNC=3373|UniProtKB=Q09472,HUMAN|HGNC=4044|UniProtKB=O60353,HUMAN|HGNC=9313|UniProtKB=Q16537,HUMAN|HGNC=2348|UniProtKB=Q92793,HUMAN|HGNC=4853|UniProtKB=Q92769,HUMAN|HGNC=12779|UniProtKB=O14905,HUMAN|HGNC=2459|UniProtKB=P19784,HUMAN|HGNC=1757|UniProtKB=Q13634,HUMAN|HGNC=30257|UniProtKB=Q9BRQ0,HUMAN|HGNC=29529|UniProtKB=Q9BZK7,HUMAN|HGNC=4398|UniProtKB=P62879,HUMAN|HGNC=1760|UniProtKB=Q9HBT6,HUMAN|HGNC=8697|UniProtKB=Q9Y5H3,HUMAN|HGNC=11103|UniProtKB=Q12824,HUMAN|HGNC=15906|UniProtKB=A7E2Y1,HUMAN|HGNC=3959|UniProtKB=Q92765,HUMAN|HGNC=17045|UniProtKB=Q969G9,HUMAN|HGNC=26956|UniProtKB=Q9ULG1,HUMAN|HGNC=8672|UniProtKB=Q9UN73,HUMAN|HGNC=5383|UniProtKB=P48735,HUMAN|HGNC=12782|UniProtKB=P56703,HUMAN|HGNC=11099|UniProtKB=Q14527,HUMAN|HGNC=3178|UniProtKB=P14138,HUMAN|HGNC=10776|UniProtKB=Q8N474,HUMAN|HGNC=11104|UniProtKB=Q92922,HUMAN|HGNC=3343|UniProtKB=P19622,HUMAN|HGNC=4041|UniProtKB=Q9NPG1,HUMAN|HGNC=7572|UniProtKB=Q9UKX2,HUMAN|HGNC=3596|UniProtKB=Q9NYQ8,HUMAN|HGNC=129|UniProtKB=P68133,HUMAN|HGNC=2456|UniProtKB=Q9Y6M4,HUMAN|HGNC=7576|UniProtKB=P13533,HUMAN|HGNC=1748|UniProtKB=P12830,HUMAN|HGNC=1751|UniProtKB=P55289,HUMAN|HGNC=11100|UniProtKB=P51532,HUMAN|HGNC=3230|UniProtKB=Q9NYQ7,HUMAN|HGNC=11585|UniProtKB=O60907,HUMAN|HGNC=8687|UniProtKB=Q9Y5E7,HUMAN|HGNC=292|UniProtKB=P30520,HUMAN|HGNC=6767|UniProtKB=Q15797,HUMAN|HGNC=9311|UniProtKB=Q13362,HUMAN|HGNC=6697|UniProtKB=O75197,HUMAN|HGNC=1759|UniProtKB=P19022,HUMAN|HGNC=3086|UniProtKB=O14641,HUMAN|HGNC=4040|UniProtKB=Q14332,HUMAN|HGNC=8664|UniProtKB=Q9Y5I2,HUMAN|HGNC=2452|UniProtKB=P48730,HUMAN|HGNC=2454|UniProtKB=Q9HCP0,HUMAN|HGNC=23112|UniProtKB=Q8TDW7,HUMAN|HGNC=9056|UniProtKB=Q01970,HUMAN|HGNC=12787|UniProtKB=P56706,HUMAN|HGNC=14546|UniProtKB=Q9NRJ7,HUMAN|HGNC=19664|UniProtKB=Q9UK08,HUMAN|HGNC=17228|UniProtKB=Q9Y620,HUMAN|HGNC=711|UniProtKB=P49407,HUMAN|HGNC=4400|UniProtKB=P16520,HUMAN|HGNC=11098|UniProtKB=P51531,HUMAN|HGNC=8659|UniProtKB=O60245,HUMAN|HGNC=1008|UniProtKB=O00512,HUMAN|HGNC=30256|UniProtKB=Q9Y3Y4,HUMAN|HGNC=4852|UniProtKB=Q13547,HUMAN|HGNC=8668|UniProtKB=Q9Y5H9,HUMAN|HGNC=8670|UniProtKB=Q9UN74,HUMAN|HGNC=17046|UniProtKB=Q969F2,HUMAN|HGNC=1765|UniProtKB=P55285,HUMAN|HGNC=6859|UniProtKB=O43318,HUMAN|HGNC=4046|UniProtKB=Q9H461,HUMAN|HGNC=11109|UniProtKB=Q969G3,HUMAN|HGNC=18040|UniProtKB=Q8NFD5,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=11837|UniProtKB=Q04724,HUMAN|HGNC=6182|UniProtKB=Q14573,HUMAN|HGNC=1491|UniProtKB=P47756,HUMAN|HGNC=11958|UniProtKB=Q96L91,HUMAN|HGNC=9055|UniProtKB=Q00722,HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=4382|UniProtKB=O95837,HUMAN|HGNC=8673|UniProtKB=Q9UN72,HUMAN|HGNC=8682|UniProtKB=Q9Y5F2,HUMAN|HGNC=903|UniProtKB=O15169,HUMAN|HGNC=11105|UniProtKB=Q8TAQ2,HUMAN|HGNC=8669|UniProtKB=Q9Y5H8,HUMAN|HGNC=12783|UniProtKB=P56705,HUMAN|HGNC=7174|UniProtKB=P09237,HUMAN|HGNC=2455|UniProtKB=P78368,HUMAN|HGNC=8693|UniProtKB=Q9UN66,HUMAN|HGNC=11840|UniProtKB=Q04727,HUMAN|HGNC=1758|UniProtKB=Q9H159,HUMAN|HGNC=24036|UniProtKB=O95996,HUMAN|HGNC=3087|UniProtKB=Q92997,HUMAN|HGNC=6698|UniProtKB=O75581,HUMAN|HGNC=11110|UniProtKB=O14497,HUMAN|HGNC=8677|UniProtKB=Q9Y5I4,HUMAN|HGNC=8711|UniProtKB=Q9UN71,HUMAN|HGNC=17550|UniProtKB=Q96MU8,HUMAN|HGNC=16267|UniProtKB=Q9UBV4,HUMAN|HGNC=19663|UniProtKB=Q9UBI6,HUMAN|HGNC=9404|UniProtKB=P41743,HUMAN|HGNC=12786|UniProtKB=O00755,HUMAN|HGNC=12780|UniProtKB=P09544,HUMAN|HGNC=4045|UniProtKB=O75084,HUMAN|HGNC=15983|UniProtKB=P56704,HUMAN|HGNC=8656|UniProtKB=Q9BZA7,HUMAN|HGNC=12785|UniProtKB=Q9Y6F9,HUMAN|HGNC=712|UniProtKB=P32121,HUMAN|HGNC=20731|UniProtKB=Q9HAV0,HUMAN|HGNC=8676|UniProtKB=Q9H158,HUMAN|HGNC=9299|UniProtKB=P67775,HUMAN|HGNC=9317|UniProtKB=P63098,HUMAN|HGNC=4039|UniProtKB=Q9ULW2,HUMAN|HGNC=8674|UniProtKB=Q9Y5H6,HUMAN|HGNC=8663|UniProtKB=Q9Y5I3,HUMAN|HGNC=2494|UniProtKB=Q13363,HUMAN|HGNC=6551|UniProtKB=Q9UJU2,HUMAN|HGNC=9318|UniProtKB=Q96LZ3,HUMAN|HGNC=12778|UniProtKB=O14904,HUMAN|HGNC=904|UniProtKB=Q9Y2T1,HUMAN|HGNC=7775|UniProtKB=O95644,HUMAN|HGNC=4043|UniProtKB=Q13467,HUMAN|HGNC=1850|UniProtKB=Q9NYQ6,HUMAN|HGNC=2514|UniProtKB=P35222,HUMAN|HGNC=2509|UniProtKB=P35221,HUMAN|HGNC=9235|UniProtKB=Q03181,HUMAN|HGNC=8671|UniProtKB=Q9Y5H7,HUMAN|HGNC=4047|UniProtKB=O00144,HUMAN|HGNC=4617|UniProtKB=P49841,HUMAN|HGNC=17280|UniProtKB=Q9Y2G4,HUMAN|HGNC=4038|UniProtKB=Q9UP38,HUMAN|HGNC=10521|UniProtKB=P10523,HUMAN|HGNC=8718|UniProtKB=Q9Y5F6,HUMAN|HGNC=12775|UniProtKB=O00744,HUMAN|HGNC=3595|UniProtKB=Q14517,HUMAN|HGNC=2511|UniProtKB=Q9UI47,HUMAN|HGNC=11107|UniProtKB=Q92925,HUMAN|HGNC=1763|UniProtKB=P55283,HUMAN|HGNC=11641|UniProtKB=Q9NQB0,HUMAN|HGNC=13733|UniProtKB=Q9H251,HUMAN|HGNC=7577|UniProtKB=P12883,HUMAN|HGNC=1144|UniProtKB=Q9Y297,HUMAN|HGNC=17748|UniProtKB=Q9NYF0	Wnt signaling pathway	49	521	2328
P05729	HUMAN|HGNC=2615|UniProtKB=P20813	Bupropion degradation	1	1	1
P02774	HUMAN|HGNC=6246|UniProtKB=Q9H3M0,HUMAN|HGNC=1712|UniProtKB=P32320,HUMAN|HGNC=11830|UniProtKB=P04183	Salvage pyrimidine deoxyribonucleotides	5	8	47
P00052	HUMAN|HGNC=172|UniProtKB=P36896,HUMAN|HGNC=1076|UniProtKB=P36894,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=6772|UniProtKB=O43541,HUMAN|HGNC=465|UniProtKB=Q16671,HUMAN|HGNC=24029|UniProtKB=P58166,HUMAN|HGNC=4224|UniProtKB=O60383,HUMAN|HGNC=6205|UniProtKB=P17275,HUMAN|HGNC=11772|UniProtKB=P36897,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=6775|UniProtKB=O95405,HUMAN|HGNC=30587|UniProtKB=Q8TAD8,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=6773|UniProtKB=O15105,HUMAN|HGNC=1069|UniProtKB=P12643,HUMAN|HGNC=10896|UniProtKB=P12755,HUMAN|HGNC=6771|UniProtKB=Q99717,HUMAN|HGNC=4221|UniProtKB=Q6KF10,HUMAN|HGNC=1074|UniProtKB=P18075,HUMAN|HGNC=7865|UniProtKB=Q96S42,HUMAN|HGNC=16807|UniProtKB=Q9HCE7,HUMAN|HGNC=10897|UniProtKB=P12757,HUMAN|HGNC=6769|UniProtKB=P84022,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=6206|UniProtKB=P17535,HUMAN|HGNC=175|UniProtKB=P37023,HUMAN|HGNC=30251|UniProtKB=Q13145,HUMAN|HGNC=16457|UniProtKB=P57077,HUMAN|HGNC=10447|UniProtKB=P10301,HUMAN|HGNC=18157|UniProtKB=Q15750,HUMAN|HGNC=30142|UniProtKB=Q99988,HUMAN|HGNC=18714|UniProtKB=Q9NPI6,HUMAN|HGNC=6066|UniProtKB=P08476,HUMAN|HGNC=6767|UniProtKB=Q15797,HUMAN|HGNC=11179|UniProtKB=P00441,HUMAN|HGNC=18696|UniProtKB=Q96RK1,HUMAN|HGNC=20869|UniProtKB=O95393,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=1987|UniProtKB=Q99967,HUMAN|HGNC=6770|UniProtKB=Q13485,HUMAN|HGNC=11766|UniProtKB=P01137,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=1078|UniProtKB=Q13873,HUMAN|HGNC=1072|UniProtKB=P22003,HUMAN|HGNC=171|UniProtKB=Q04771,HUMAN|HGNC=4215|UniProtKB=P55107,HUMAN|HGNC=4216|UniProtKB=O95390,HUMAN|HGNC=173|UniProtKB=P27037,HUMAN|HGNC=3373|UniProtKB=Q09472,HUMAN|HGNC=1073|UniProtKB=P22004,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=13718|UniProtKB=P15407,HUMAN|HGNC=2348|UniProtKB=Q92793,HUMAN|HGNC=174|UniProtKB=Q13705,HUMAN|HGNC=1075|UniProtKB=P34820,HUMAN|HGNC=1077|UniProtKB=O00238,HUMAN|HGNC=18123|UniProtKB=Q8NER5,HUMAN|HGNC=4222|UniProtKB=Q7Z4P5,HUMAN|HGNC=6552|UniProtKB=O75610,HUMAN|HGNC=11844|UniProtKB=Q9Y6L7,HUMAN|HGNC=3122|UniProtKB=O00292,HUMAN|HGNC=11773|UniProtKB=P37173,HUMAN|HGNC=4220|UniProtKB=P43026,HUMAN|HGNC=16809|UniProtKB=Q9HAU4,HUMAN|HGNC=6067|UniProtKB=P09529,HUMAN|HGNC=4232|UniProtKB=P39905,HUMAN|HGNC=784|UniProtKB=P15336,HUMAN|HGNC=6859|UniProtKB=O43318,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=1067|UniProtKB=P13497,HUMAN|HGNC=1070|UniProtKB=P12645,HUMAN|HGNC=21650|UniProtKB=Q7Z5Y6,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=6774|UniProtKB=O15198,HUMAN|HGNC=3814|UniProtKB=O75593,HUMAN|HGNC=11768|UniProtKB=P61812,HUMAN|HGNC=6768|UniProtKB=Q15796,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=3711|UniProtKB=P62942,HUMAN|HGNC=11843|UniProtKB=O43897	TGF-beta signaling pathway	20	148	798
P00035	HUMAN|HGNC=9644|UniProtKB=Q06124,HUMAN|HGNC=9658|UniProtKB=P29350,HUMAN|HGNC=17002|UniProtKB=Q8N2W9,HUMAN|HGNC=16833|UniProtKB=O14544,HUMAN|HGNC=19392|UniProtKB=Q8WXH5,HUMAN|HGNC=19391|UniProtKB=O14543,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=11362|UniProtKB=P42224,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=6192|UniProtKB=O60674,HUMAN|HGNC=16852|UniProtKB=O75159,HUMAN|HGNC=5439|UniProtKB=P15260,HUMAN|HGNC=2752|UniProtKB=O75925,HUMAN|HGNC=19382|UniProtKB=O14508,HUMAN|HGNC=1984|UniProtKB=Q9NSE2,HUMAN|HGNC=5440|UniProtKB=P38484,HUMAN|HGNC=6190|UniProtKB=P23458,HUMAN|HGNC=16861|UniProtKB=Q9Y6X2,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=29846|UniProtKB=O14512,HUMAN|HGNC=17311|UniProtKB=O75928,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=5438|UniProtKB=P01579,HUMAN|HGNC=20342|UniProtKB=Q96MV8	Interferon-gamma signaling pathway	10	40	224
P05918	HUMAN|HGNC=3288|UniProtKB=Q13541,HUMAN|HGNC=6888|UniProtKB=Q16644,HUMAN|HGNC=4095|UniProtKB=P24522,HUMAN|HGNC=10434|UniProtKB=O75582,HUMAN|HGNC=6843|UniProtKB=P46734,HUMAN|HGNC=7111|UniProtKB=Q9HBH9,HUMAN|HGNC=2345|UniProtKB=P16220,HUMAN|HGNC=17075|UniProtKB=Q9NYJ8,HUMAN|HGNC=6846|UniProtKB=P52564,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=10433|UniProtKB=O75676,HUMAN|HGNC=6856|UniProtKB=Q9Y6R4,HUMAN|HGNC=3321|UniProtKB=P19419,HUMAN|HGNC=6844|UniProtKB=P45985,HUMAN|HGNC=6993|UniProtKB=Q02078,HUMAN|HGNC=11291|UniProtKB=P11831,HUMAN|HGNC=3065|UniProtKB=Q9Y6W6,HUMAN|HGNC=6857|UniProtKB=Q99683,HUMAN|HGNC=9801|UniProtKB=P63000,HUMAN|HGNC=18157|UniProtKB=Q15750,HUMAN|HGNC=9803|UniProtKB=P60763,HUMAN|HGNC=3287|UniProtKB=P06730,HUMAN|HGNC=6859|UniProtKB=O43318,HUMAN|HGNC=6849|UniProtKB=Q02779,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=6996|UniProtKB=Q06413,HUMAN|HGNC=5993|UniProtKB=P14778,HUMAN|HGNC=1736|UniProtKB=P60953,HUMAN|HGNC=9802|UniProtKB=P15153,HUMAN|HGNC=7110|UniProtKB=Q9BUB5,HUMAN|HGNC=6997|UniProtKB=Q14814,HUMAN|HGNC=24615|UniProtKB=O00418,HUMAN|HGNC=6887|UniProtKB=P49137,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=12036|UniProtKB=Q9Y4K3	p38 MAPK pathway	36	46	228
P05726	HUMAN|HGNC=15917|UniProtKB=Q9NQ66,HUMAN|HGNC=1165|UniProtKB=Q9Y4D2,HUMAN|HGNC=9056|UniProtKB=Q01970,HUMAN|HGNC=9055|UniProtKB=Q00722	2-arachidonoylglycerol biosynthesis	4	6	29
P02770	HUMAN|HGNC=30260|UniProtKB=Q9NVS9,HUMAN|HGNC=8819|UniProtKB=O00764	Pyridoxal phosphate salvage pathway	4	6	37
P00022	HUMAN|HGNC=12511|UniProtKB=P17480,HUMAN|HGNC=11533|UniProtKB=Q53T94,HUMAN|HGNC=20454|UniProtKB=Q9H9Y6,HUMAN|HGNC=20422|UniProtKB=Q9Y2S0,HUMAN|HGNC=11532|UniProtKB=Q15573,HUMAN|HGNC=30346|UniProtKB=Q9NYV6,HUMAN|HGNC=11588|UniProtKB=P20226,HUMAN|HGNC=11589|UniProtKB=P62380,HUMAN|HGNC=12836|UniProtKB=Q9H0D6,HUMAN|HGNC=17300|UniProtKB=Q7Z7C8,HUMAN|HGNC=9688|UniProtKB=Q6NZI2,HUMAN|HGNC=24343|UniProtKB=Q9P0U4,HUMAN|HGNC=19841|UniProtKB=Q6SJ96,HUMAN|HGNC=17928|UniProtKB=Q9P2W1,HUMAN|HGNC=9198|UniProtKB=P53803,HUMAN|HGNC=12397|UniProtKB=Q15361	General transcription by RNA polymerase I	16	32	138
P02788	HUMAN|HGNC=7892|UniProtKB=P00491,HUMAN|HGNC=4212|UniProtKB=Q9Y2T3,HUMAN|HGNC=5157|UniProtKB=P00492	Xanthine and guanine salvage pathway	7	6	43
P02762	HUMAN|HGNC=4458|UniProtKB=P06744,HUMAN|HGNC=4922|UniProtKB=P19367,HUMAN|HGNC=4923|UniProtKB=P52789,HUMAN|HGNC=11834|UniProtKB=P29401,HUMAN|HGNC=11559|UniProtKB=P37837,HUMAN|HGNC=10297|UniProtKB=P49247,HUMAN|HGNC=23302|UniProtKB=Q2TB90,HUMAN|HGNC=8891|UniProtKB=P52209	Pentose phosphate pathway	13	22	56
P00046	HUMAN|HGNC=9036|UniProtKB=P0C869,HUMAN|HGNC=7553|UniProtKB=P01106,HUMAN|HGNC=11362|UniProtKB=P42224,HUMAN|HGNC=6843|UniProtKB=P46734,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=7111|UniProtKB=Q9HBH9,HUMAN|HGNC=6846|UniProtKB=P52564,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=6856|UniProtKB=Q9Y6R4,HUMAN|HGNC=3321|UniProtKB=P19419,HUMAN|HGNC=2726|UniProtKB=P35638,HUMAN|HGNC=6844|UniProtKB=P45985,HUMAN|HGNC=6993|UniProtKB=Q02078,HUMAN|HGNC=3065|UniProtKB=Q9Y6W6,HUMAN|HGNC=990|UniProtKB=P10415,HUMAN|HGNC=6913|UniProtKB=P61244,HUMAN|HGNC=12435|UniProtKB=P10599,HUMAN|HGNC=784|UniProtKB=P15336,HUMAN|HGNC=9035|UniProtKB=P47712,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=6996|UniProtKB=Q06413,HUMAN|HGNC=7110|UniProtKB=Q9BUB5,HUMAN|HGNC=24615|UniProtKB=O00418,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=6873|UniProtKB=Q15759	Oxidative stress response	20	41	217
